"timestamp","delta_time","bandwidth_in","bandwidth_out"
"17/04/2015 00:59:44",3654,1.39881778,0.14116418
"17/04/2015 01:59:46",3602,0.56582922,0.11936142
"17/04/2015 02:58:47",3541,0.61198825,0.11114875
"17/04/2015 03:59:40",3653,0.61540395,0.10424091
"17/04/2015 04:59:51",3611,0.69483292,0.10655725
"17/04/2015 05:58:29",3518,0.48574120,0.10021298
"17/04/2015 06:59:45",3676,0.60466707,0.10434800
"17/04/2015 07:58:39",3534,1.75718880,0.15228769
"17/04/2015 08:59:03",3624,9.12537575,1.64828336
"17/04/2015 09:59:23",3620,21.53316498,6.15960550
"17/04/2015 10:59:46",3623,27.53969383,2.83664346
"17/04/2015 11:58:40",3534,23.17937660,2.10304213
"17/04/2015 12:59:06",3626,27.40947723,2.13600636
"17/04/2015 13:59:46",3640,44.08967972,2.39101529
"17/04/2015 14:59:47",3601,29.55846024,2.09745240
"17/04/2015 15:59:29",3582,26.69430733,2.18090177
"17/04/2015 16:59:59",3630,24.55133629,2.22844505
"17/04/2015 17:59:15",3556,14.74795341,1.49169624
"17/04/2015 18:59:33",3618,7.32033253,2.00678301
"17/04/2015 19:59:15",3582,3.48242259,0.67697889
"17/04/2015 20:59:33",3618,3.94179583,2.32914591
"17/04/2015 21:59:57",3624,1.22913241,0.36946312
"17/04/2015 22:59:05",3548,1.11376309,0.66990775
"17/04/2015 23:59:11",3606,1.29234433,0.38516727
"18/04/2015 00:59:41",3630,0.48433760,0.44698411
"18/04/2015 01:59:40",3599,0.39781693,0.33269385
"18/04/2015 02:58:43",3543,0.41693375,0.44178483
"18/04/2015 03:59:34",3651,0.45686334,0.16426370
"18/04/2015 04:59:33",3599,0.50151378,0.10360983
"18/04/2015 05:59:17",3584,0.33879620,0.19889744
"18/04/2015 06:59:23",3606,0.37538126,0.07735854
"18/04/2015 07:58:25",3542,0.43371236,0.08711644
"18/04/2015 08:59:22",3657,1.09864867,0.21310793
"18/04/2015 09:59:29",3607,4.12772131,0.67855287
"18/04/2015 10:58:37",3548,9.26954842,0.75653338
"18/04/2015 11:59:32",3655,17.81344414,6.12709045
"18/04/2015 12:59:44",3612,15.98017597,2.02334690
"18/04/2015 13:58:56",3552,7.13078070,0.84117621
"18/04/2015 14:59:49",3653,4.74544382,0.92861128
"18/04/2015 15:59:55",3606,6.43962479,0.95202297
"18/04/2015 16:58:59",3544,5.12769556,0.60074997
"18/04/2015 17:59:56",3657,5.31279182,0.69562668
"18/04/2015 18:59:04",3548,5.03658581,0.85199392
"18/04/2015 19:59:10",3606,5.01830912,0.81925339
"18/04/2015 20:59:09",3599,5.33464384,0.50992924
"18/04/2015 21:59:22",3613,7.83304977,0.69300568
"18/04/2015 22:59:33",3611,7.37429047,0.59918547
"18/04/2015 23:59:29",3596,4.79579639,0.41807619
"19/04/2015 00:59:40",3611,6.16583967,0.96663219
"19/04/2015 01:59:48",3608,5.12076950,0.55898881
"19/04/2015 02:59:38",3590,4.72871542,0.51049566
"19/04/2015 03:59:45",3607,3.96545434,0.51119888
"19/04/2015 04:59:51",3606,0.43584144,0.13986169
"19/04/2015 05:59:46",3595,0.33564922,0.08834314
"19/04/2015 06:59:51",3605,0.36175942,0.09031524
"19/04/2015 07:59:57",3606,0.33882788,0.23585445
"19/04/2015 08:59:53",3596,0.34236562,0.17756025
"19/04/2015 09:59:59",3606,0.38010722,0.14829218
"19/04/2015 10:59:10",3551,1.86825168,0.13700247
"19/04/2015 11:58:18",3548,0.37759379,0.09864280
"19/04/2015 12:59:12",3654,0.52242017,0.54109639
"19/04/2015 13:59:20",3608,2.78604507,0.37495628
"19/04/2015 14:58:25",3545,4.12001371,0.42528814
"19/04/2015 15:59:21",3656,0.55170578,0.11214680
"19/04/2015 16:59:28",3607,0.52161449,0.15922327
"19/04/2015 17:58:39",3551,0.65095413,0.16582772
"19/04/2015 18:59:34",3655,0.46416554,0.32020950
"19/04/2015 19:59:47",3613,0.48258007,0.31294465
"19/04/2015 20:58:58",3551,0.36532483,0.10808305
"19/04/2015 21:59:03",3605,0.50351775,0.09155718
"19/04/2015 22:59:08",3605,1.49855685,0.11832427
"19/04/2015 23:59:13",3605,1.58178484,0.17257397
"20/04/2015 00:59:10",3597,0.61363596,0.28697771
"20/04/2015 01:59:16",3606,1.18617296,0.24837288
"20/04/2015 02:59:23",3607,0.62982959,0.30987617
"20/04/2015 03:59:19",3596,0.35318634,0.12659825
"20/04/2015 04:59:24",3605,0.37443832,0.08883889
"20/04/2015 05:59:29",3605,0.35717100,0.08956058
"20/04/2015 06:59:18",3589,0.37314874,0.08880507
"20/04/2015 07:59:23",3605,0.43511525,0.23749234
"20/04/2015 08:59:28",3605,6.49318743,0.61477607
"20/04/2015 09:59:29",3601,12.99231243,0.99048471
"20/04/2015 10:59:35",3606,14.71820545,1.68770528
"20/04/2015 11:59:39",3604,32.21532440,3.78703833
"20/04/2015 12:59:29",3590,26.78698158,2.84708953
"20/04/2015 13:59:34",3605,31.40772820,1.74462330
"20/04/2015 14:59:11",3577,27.99884987,2.13619518
"20/04/2015 15:59:44",3633,26.01491356,2.23941946
"20/04/2015 16:58:28",3524,46.32112122,2.61474490
"20/04/2015 17:59:35",3667,27.30758286,2.86841083
"20/04/2015 18:59:46",3611,20.79213524,1.48291755
"20/04/2015 19:59:51",3605,12.25875854,1.11461198
"20/04/2015 20:58:20",3509,5.82157278,0.69814855
